scenario_id,profile,merchant_id,source_record_id,external_ref,amount_minor,currency,transaction_date,status
scenario-42-100-adversarial,adversarial,merchant-00018,merchant-00018,PAY-42-00018,98076,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00091,merchant-00091,PAY-42-00091,75731,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00047,merchant-00047,PAY-42-00047,90007,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00010,merchant-00010,PAY-42-00010,81684,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00002,merchant-00002,PAY-42-00002,54188,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00044,merchant-00044,PAY-42-00044,30502,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00008,merchant-00008,PAY-42-00008,21842,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00019,merchant-00019,PAY-42-00019,55403,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00028,merchant-00028,PAY-42-00028,33158,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00012,merchant-00012,PAY-42-00012,55206,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00066,merchant-00066,PAY-42-00066,41148,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00036,merchant-00036,PAY-42-00036,53518,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00027,merchant-00027,PAY-42-00027,92259,INR,2026-08-07T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00086,merchant-00086,PAY-42-00086,94912,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00052,merchant-00052,PAY-42-00052,26510,INR,2026-08-05T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00032,merchant-00032,PAY-42-00032,47706,INR,2026-08-06T10:00:00.000Z,captured
scenario-42-100-adversarial,adversarial,merchant-00020,merchant-00020,PAY-42-00020,20078,INR,2026-08-06T10:00:00.000Z,captured
