seed,profile,scenario_id,settlement_id,settlement_source_record_id,external_settlement_id,stated_amount_minor,currency,settlement_date,component_id,component_type,component_amount_minor,financial_effect_minor,component_set_complete
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00079,payment,28455,28455,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00071,payment,53727,53727,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00027,payment,92259,92259,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00036,payment,53518,53518,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00080,payment,53386,53386,true
42,adversarial,42-100-adversarial,settlement-0008,settlement-0008,set_42_8,459501,INR,2026-08-17T10:00:00.000Z,component-00077,payment,24157,24157,true
42,adversarial,42-100-adversarial,settlement-0002,settlement-0002,set_42_2,529413,INR,2026-08-11T10:00:00.000Z,component-00017,payment,16497,16497,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00032,payment,47706,47706,true
42,adversarial,42-100-adversarial,settlement-0006,settlement-0006,set_42_6,516933,INR,2026-08-15T10:00:00.000Z,component-00051,payment,91163,91163,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00033,payment,32193,32193,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00029,payment,45965,45965,true
42,adversarial,42-100-adversarial,settlement-0009,settlement-0009,set_42_9,543977,INR,2026-08-18T10:00:00.000Z,component-00088,payment,89650,89650,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00031,payment,64503,64503,true
42,adversarial,42-100-adversarial,settlement-0005,settlement-0005,set_42_5,478457,INR,2026-08-14T10:00:00.000Z,component-00049,payment,19921,19921,true
42,adversarial,42-100-adversarial,settlement-0010,settlement-0010,set_42_10,393701,INR,2026-08-19T10:00:00.000Z,component-00091,payment,75731,75731,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00068,payment,52862,52862,true
42,adversarial,42-100-adversarial,settlement-0004,settlement-0004,set_42_4,614797,INR,2026-08-13T10:00:00.000Z,component-00037,payment,66997,66997,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00069,payment,45637,45637,true
42,adversarial,42-100-adversarial,settlement-0003,settlement-0003,set_42_3,544561,INR,2026-08-12T10:00:00.000Z,component-00023,payment,19119,19119,true
42,adversarial,42-100-adversarial,settlement-0007,settlement-0007,set_42_7,428481,INR,2026-08-16T10:00:00.000Z,component-00066,payment,41148,41148,true
